"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","A","ML81534939","2068 Biarritz Place","$6,400,000","116","5","5|2","8,451","1.09 Acres","San Jose","Res. Single Family","13"
"1","S","ML81518349","5471 Country Club Parkway","$4,500,000","0","6","6|1","6,761","17,724 SqFt","San Jose","Res. Single Family","20"
"1","S","ML81566530","5735 La Seyne Place","$3,975,000","0","5","5|1","6,600","16,750 SqFt","San Jose","Res. Single Family","19"
"1","A","ML81521846","5500 Morningside Drive","$3,550,000","152","4","4|1","5,731","16,806 SqFt","San Jose","Res. Single Family","15"
"1","A","ML81577685","1650 The Alameda","$3,500,000","7","7","3|0","6,000","16,988 SqFt","San Jose","Res. Single Family","106"
"1","A","ML81519552","6793 Elwood Road","$3,425,000","169","5","5|1","5,238","20,000 SqFt","San Jose","Res. Single Family","50"
"1","A","ML81549887","1691 Marseilles Court","$3,299,000","57","5","4|1","6,487","16,065 SqFt","San Jose","Res. Single Family","9"
"1","A","ML81577136","2333 Dry Creek Road","$3,295,000","9","4","4|1","4,069","31,202 SqFt","San Jose","Res. Single Family","40"
"1","A","ML81562935","7121 Echo Loop","$3,200,000","36","4","5|1","4,490","21,344 SqFt","San Jose","Res. Single Family","10"
"1","P","ML81562786","1811 Dry Creek Road","$3,195,000","7","5","4|1","4,570","24,092 SqFt","San Jose","Res. Single Family","0"
"1","A","ML81550973","1528 Padres Drive","$2,998,000","50","5","3|0","4,459","12,402 SqFt","San Jose","Res. Single Family","27"
"1","A","ML81561213","5662 Country Club Parkway","$2,988,888","48","4","4|1","5,000","15,002 SqFt","San Jose","Res. Single Family","20"
"1","P","ML81550644","819 Morse Street","$2,895,000","157","5","4|1","3,828","12,687 SqFt","San Jose","Res. Single Family","79"
"1","A","ML81548604","15826 Rica Vista Way","$2,889,900","70","5","5|1","6,541","1.34 Acres","San Jose","Res. Single Family","8"
"1","A","ML81563144","12340 NE Clayton Road","$2,888,950","35","4","3|1","4,000","39.13 Acres","San Jose","Res. Single Family","31"
"1","A","ML81578075","6755 Graystone Lane","$2,888,000","5","6","4|2","4,727","41,818 SqFt","San Jose","Res. Single Family","3"
"1","P","ML81546788","6322 Tucker Drive","$2,860,000","56","4","4|1","3,970","8,824 SqFt","San Jose","Res. Single Family","0"
"1","A","ML81578071","1032 Avondale Street","$2,858,888","5","5","4|1","4,435","10,877 SqFt","San Jose","Res. Single Family","10"
"1","S","ML81549033","7295 Via Brezzo","$2,750,000","30","6","7|2","5,866","3.17 Acres","San Jose","Res. Single Family","24"
"1","A","ML81519222","19960 Almaden Road","$2,695,000","173","2","1|0","1,200","16.00 Acres","San Jose","Res. Single Family","35"
