SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,6060 GRIZZLY PEAK Blvd,Oakland,CA,94611,1495000,,,Oakland,,39102,,1,Garage,1117,Active,,,,2015-08-29,1100000,2008-06-05,718000.0,http://www.redfin.com/CA/Oakland/6060-Grizzly-Peak-Blvd-94611/home/21635628,East Bay Regional Data (EBRD),40605342,Alhambra Hills Realty,N,Y,37.852055,-122.209254,false
MLS Listing,Vacant Land,0 Overmoor (Unable to map),Oakland,CA,94605,899000,,,Oakland,,164561,,1,Garage,1014,Active,,,,2014-02-28,1095000,,,http://www.redfin.com/CA/Oakland/Overmoor-St-94605/home/22722723,East Bay Regional Data (EBRD),40618488,COLDWELL BANKER RESIDENTIAL,N,Y,,,false
MLS Listing,Vacant Land,10830 Monan St,Oakland,CA,94605,449000,,,Oakland,,6606,,1,Garage,986,Active,,,,2014-02-28,599000,,,http://www.redfin.com/CA/Oakland/10830-Monan-St-94603/home/22706022,East Bay Regional Data (EBRD),40622435,COLDWELL BANKER RESIDENTIAL,N,Y,37.752551,-122.127527,false
MLS Listing,Vacant Land,7800 Bancroft Ave,Oakland,CA,94621,495000,,,Oakland,,11000,,1,Garage,986,Active,,,,2014-02-28,599000,,,http://www.redfin.com/CA/Oakland/7800-Bancroft-Ave-94605/home/49730459,East Bay Regional Data (EBRD),40622434,COLDWELL BANKER RESIDENTIAL,N,Y,37.7634966,-122.1738364,false
MLS Listing,Vacant Land,Undisclosed,Oakland,CA,94611-1021,380000,,,Oakland,,12316,,1,Garage,733,Active,,,,,380000,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94611/home/22729450,East Bay Regional Data (EBRD),40650142,COLDWELL BANKER RESIDENTIAL,N,Y,,,false
MLS Listing,Vacant Land,0 Tunnel Rd (Unable to map),Oakland,CA,94611,380000,,,Oakland,,13372,,1,Garage,733,Active,,,,,380000,,,http://www.redfin.com/CA/Oakland/Tunnel-Rd-94611/home/22684164,East Bay Regional Data (EBRD),40650156,COLDWELL BANKER RESIDENTIAL,N,Y,,,false
MLS Listing,Vacant Land,0 TUNNEL Rd (Unable to map),Oakland,CA,94611-1021,380000,,,Oakland,,12060,,1,Garage,733,Active,,,,,380000,,,http://www.redfin.com/CA/Oakland/Tunnel-Rd-94611/home/22729451,East Bay Regional Data (EBRD),40650158,COLDWELL BANKER RESIDENTIAL,N,Y,,,false
MLS Listing,Vacant Land,60 Siena,Oakland,CA,94605,2999000,,,Oakland,,66000,,1,Garage,705,Active,,,,2015-10-19,2500000,,,http://www.redfin.com/CA/Oakland/60-Siena-Dr-94605/home/22693477,East Bay Regional Data (EBRD),40653691,COLDWELL BANKER RESIDENTIAL,N,Y,37.7713648,-122.152498,false
MLS Listing,Vacant Land,0 TUNNEL Rd (Unable to map),Oakland,CA,94618,99950,,,Oakland,,7562,,1,Garage,537,Active,,,,,79950,1989-07-14,19500.0,http://www.redfin.com/CA/Oakland/Tunnel-Rd-94603/home/1958226,East Bay Regional Data (EBRD),40676170,Intero Real Estate Services,N,Y,,,false
MLS Listing,Single Family Residential,4217 Balfour Ave,Oakland,CA,94610,850000,3,1.0,San Francisco,1950,3350,,1,Garage,537,Active,,,,2015-03-28,760000,,,http://www.redfin.com/CA/Oakland/4217-Balfour-Ave-94610/home/1361820,California Real Estate Technology Services (CARETS),14-798721,Keller Williams Rlty-Marina/LA,N,Y,37.8141219,-122.2327543,false
MLS Listing,Single Family Residential,2629 75 TH Ave,Oakland,CA,94605,329995,3,2.0,Oakland,910,2483,1941,0,,522,Active,,,,2016-02-27,235000,2011-04-25,99000.0,http://www.redfin.com/CA/Oakland/2629-75th-Ave-94605/home/1607705,East Bay Regional Data (EBRD),40677902,1st Capital,N,Y,37.766287,-122.174004,false
MLS Listing,Vacant Land,Undisclosed,Oakland,CA,94611,89000,,,Oakland,,8076,,1,Garage,488,Active,,,,2014-12-04,110000,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94611/home/59939148,East Bay Regional Data (EBRD),40681054,ALL EAST BAY PROPERTIES,N,Y,,,false
MLS Listing,Vacant Land,Undisclosed,Oakland,CA,94611,89000,,,Oakland,,8614,,1,Garage,488,Active,,,,2014-12-04,110000,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94611/home/59939281,East Bay Regional Data (EBRD),40681058,ALL EAST BAY PROPERTIES,N,Y,,,false
MLS Listing,Vacant Land,530 32nd St,Oakland,CA,94609,699900,,,Oakland,,6100,,1,Garage,406,Active,,,,2015-11-24,699000,2013-04-15,45000.0,http://www.redfin.com/CA/Oakland/530-32nd-St-94609/home/1828869,East Bay Regional Data (EBRD),40686672,Mandalay Realty,N,Y,37.821328,-122.26767,false
MLS Listing,Vacant Land,2156 Mastlands Dr,Oakland,CA,94611,585000,,,Oakland,,10900,,0,,357,Active,,,,,585000,,,http://www.redfin.com/CA/Oakland/2156-Mastlands-Dr-94611/home/21908752,San Francisco Association of Realtors (SFARMLS),431278,Berkshire Hathaway-Franciscan,N,Y,37.81855,-122.197221,false
