address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
890 31st St,Oakland  CA 94608,0,,2728,1907,37.821601,-122.275784,http://www.redfin.com/CA/Oakland/890-31st-St-94608/home/996736,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24741683,http://www.zillow.com/homedetails/890-31st-St-Oakland-CA-94608/24741683_zpid/,http://www.zillow.com/homedetails/890-31st-St-Oakland-CA-94608/24741683_zpid/#charts-and-data,http://www.zillow.com/homes/24741683_zpid/,http://www.zillow.com/homes/comps/24741683_zpid/,24741683,634827,03/13/2016,3200,03/14/2016,0
626 33rd St,Oakland  CA 94609,4,2.0,2585,1898,37.822754,-122.269558,,,http://www.zillow.com/homedetails/626-33rd-St-Oakland-CA-94609/24741974_zpid/,http://www.zillow.com/homedetails/626-33rd-St-Oakland-CA-94609/24741974_zpid/#charts-and-data,http://www.zillow.com/homes/24741974_zpid/,http://www.zillow.com/homes/comps/24741974_zpid/,24741974,638453,03/13/2016,,,0.349015729946,600000,02/18/2016,2.0
2922 Martin Luther King Jr Way,Oakland  CA 94609,6,3.0,2658,1898,37.819482,-122.270712,,,http://www.zillow.com/homedetails/2922-Martin-Luther-King-Jr-Way-Oakland-CA-94609/24741550_zpid/,http://www.zillow.com/homedetails/2922-Martin-Luther-King-Jr-Way-Oakland-CA-94609/24741550_zpid/#charts-and-data,http://www.zillow.com/homes/24741550_zpid/,http://www.zillow.com/homes/comps/24741550_zpid/,24741550,683464,03/13/2016,,,0.313157720839,1187000,02/11/2016,11.0
835 35th St,Oakland  CA 94608,4,3.0,2218,1910,37.824821,-122.273544,,,http://www.zillow.com/homedetails/835-35th-St-Oakland-CA-94608/24742082_zpid/,http://www.zillow.com/homedetails/835-35th-St-Oakland-CA-94608/24742082_zpid/#charts-and-data,http://www.zillow.com/homes/24742082_zpid/,http://www.zillow.com/homes/comps/24742082_zpid/,24742082,462840,03/13/2016,,,0.253856549092,415000,11/17/2015,7.0
principal_arv,mao_light,mao_med,mao_high
734000,403320.0,376040.0,335120.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
1430 71ST Ave,Oakland  CA 94621-3102,3,2.0,1020,1949,37.760479,-122.188176,http://www.redfin.com/CA/Oakland/1430-71st-Ave-94621/home/1801065,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24791093,http://www.zillow.com/homedetails/1430-71st-Ave-Oakland-CA-94621/24791093_zpid/,http://www.zillow.com/homedetails/1430-71st-Ave-Oakland-CA-94621/24791093_zpid/#charts-and-data,http://www.zillow.com/homes/24791093_zpid/,http://www.zillow.com/homes/comps/24791093_zpid/,24791093,260492,03/13/2016,2100,03/14/2016,0
1106 75th Ave,Oakland  CA 94621,2,1.0,892,1920,37.755828,-122.189271,,,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/#charts-and-data,http://www.zillow.com/homes/24796054_zpid/,http://www.zillow.com/homes/comps/24796054_zpid/,24796054,251894,03/13/2016,,,0.326871807472,170000,01/25/2016,9.0
7115 Lockwood St,Oakland  CA 94621,3,2.0,1100,1920,37.763671,-122.182089,,,http://www.zillow.com/homedetails/7115-Lockwood-St-Oakland-CA-94621/24790928_zpid/,http://www.zillow.com/homedetails/7115-Lockwood-St-Oakland-CA-94621/24790928_zpid/#charts-and-data,http://www.zillow.com/homes/24790928_zpid/,http://www.zillow.com/homes/comps/24790928_zpid/,24790928,310262,03/13/2016,,,0.398982965923,185000,10/08/2015,6.0
1917 65th Ave,Oakland  CA 94621,2,1.0,1031,1947,37.764924,-122.191629,,,http://www.zillow.com/homedetails/1917-65th-Ave-Oakland-CA-94621/24789374_zpid/,http://www.zillow.com/homedetails/1917-65th-Ave-Oakland-CA-94621/24789374_zpid/#charts-and-data,http://www.zillow.com/homes/24789374_zpid/,http://www.zillow.com/homes/comps/24789374_zpid/,24789374,278399,03/13/2016,,,0.360410492185,250000,09/30/2015,4.0
principal_arv,mao_light,mao_med,mao_high
201666,95466.2,85266.2,69966.2

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2736 Bartlett St,OAKLAND  CA 94602,3,1.0,1080,1922,37.789899,-122.208369,http://www.redfin.com/CA/Oakland/2736-Bartlett-St-94602/home/539447,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24768998,http://www.zillow.com/homedetails/2736-Bartlett-St-Oakland-CA-94602/24768998_zpid/,http://www.zillow.com/homedetails/2736-Bartlett-St-Oakland-CA-94602/24768998_zpid/#charts-and-data,http://www.zillow.com/homes/24768998_zpid/,http://www.zillow.com/homes/comps/24768998_zpid/,24768998,510728,03/13/2016,2500,03/14/2016,0
2820 Montana St,Oakland  CA 94602,2,1.0,864,1921,37.79692,-122.209652,,,http://www.zillow.com/homedetails/2820-Montana-St-Oakland-CA-94602/24769654_zpid/,http://www.zillow.com/homedetails/2820-Montana-St-Oakland-CA-94602/24769654_zpid/#charts-and-data,http://www.zillow.com/homes/24769654_zpid/,http://www.zillow.com/homes/comps/24769654_zpid/,24769654,474400,03/13/2016,,,0.490135002858,440000,10/16/2015,5.0
3028 Brookdale Ave,Oakland  CA 94602,3,2.0,1002,1913,37.792147,-122.215106,,,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/#charts-and-data,http://www.zillow.com/homes/24768195_zpid/,http://www.zillow.com/homes/comps/24768195_zpid/,24768195,442376,03/13/2016,,,0.399294336045,384000,01/29/2016,7.0
3066 Berlin Way,Oakland  CA 94602,2,1.0,870,1926,37.791821,-122.209184,,,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/#charts-and-data,http://www.zillow.com/homes/24768498_zpid/,http://www.zillow.com/homes/comps/24768498_zpid/,24768498,468547,03/13/2016,,,0.140054679818,425000,12/11/2015,5.0
principal_arv,mao_light,mao_med,mao_high
416333,238633.1,227833.1,211633.1

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2808 MADERA Ave,Oakland  CA 94619,3,1.0,1063,1921,37.777261,-122.193922,http://www.redfin.com/CA/Oakland/2808-Madera-Ave-94619/home/560258,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24783658,http://www.zillow.com/homedetails/2808-Madera-Ave-Oakland-CA-94619/24783658_zpid/,http://www.zillow.com/homedetails/2808-Madera-Ave-Oakland-CA-94619/24783658_zpid/#charts-and-data,http://www.zillow.com/homes/24783658_zpid/,http://www.zillow.com/homes/comps/24783658_zpid/,24783658,537037,03/13/2016,2495,03/14/2016,0
3024 Seminary Ave,Oakland  CA 94605,3,2.0,1122,1923,37.774735,-122.185722,,,http://www.zillow.com/homedetails/3024-Seminary-Ave-Oakland-CA-94605/24788048_zpid/,http://www.zillow.com/homedetails/3024-Seminary-Ave-Oakland-CA-94605/24788048_zpid/#charts-and-data,http://www.zillow.com/homes/24788048_zpid/,http://www.zillow.com/homes/comps/24788048_zpid/,24788048,509464,03/13/2016,,,0.480627009807,493600,10/09/2015,4.0
5171 Fairfax Ave,Oakland  CA 94601,2,2.0,1176,1922,37.77386,-122.201104,,,http://www.zillow.com/homedetails/5171-Fairfax-Ave-Oakland-CA-94601/24781161_zpid/,http://www.zillow.com/homedetails/5171-Fairfax-Ave-Oakland-CA-94601/24781161_zpid/#charts-and-data,http://www.zillow.com/homes/24781161_zpid/,http://www.zillow.com/homes/comps/24781161_zpid/,24781161,512674,03/13/2016,,,0.457230548551,520000,10/15/2015,4.0
5012 Congress Ave,Oakland  CA 94601,1,1.0,900,1951,37.776393,-122.201972,,,http://www.zillow.com/homedetails/5012-Congress-Ave-Oakland-CA-94601/24781187_zpid/,http://www.zillow.com/homedetails/5012-Congress-Ave-Oakland-CA-94601/24781187_zpid/#charts-and-data,http://www.zillow.com/homes/24781187_zpid/,http://www.zillow.com/homes/comps/24781187_zpid/,24781187,435528,03/13/2016,,,0.443694076842,530000,10/28/2015,4.0
5068 Fairfax Ave,Oakland  CA 94601,3,1.0,1250,1924,37.775283,-122.200439,,,http://www.zillow.com/homedetails/5068-Fairfax-Ave-Oakland-CA-94601/24781250_zpid/,http://www.zillow.com/homedetails/5068-Fairfax-Ave-Oakland-CA-94601/24781250_zpid/#charts-and-data,http://www.zillow.com/homes/24781250_zpid/,http://www.zillow.com/homes/comps/24781250_zpid/,24781250,507996,03/13/2016,,,0.381243263862,405000,12/21/2015,5.0
principal_arv,mao_light,mao_med,mao_high
487150,288800.0,278170.0,262225.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3538 Mangels Ave,Oakland  CA 94619,2,1.0,817,1927,37.79065,-122.204177,http://www.redfin.com/CA/Oakland/3538-Mangels-Ave-94619/home/1995177,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24776916,http://www.zillow.com/homedetails/3538-Mangels-Ave-Oakland-CA-94619/24776916_zpid/,http://www.zillow.com/homedetails/3538-Mangels-Ave-Oakland-CA-94619/24776916_zpid/#charts-and-data,http://www.zillow.com/homes/24776916_zpid/,http://www.zillow.com/homes/comps/24776916_zpid/,24776916,373898,03/13/2016,2295,03/14/2016,0
