prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2629,75 TH Ave,Oakland,CA,94605,529,40677902,2,1.0,910,2500,1941,37.766287,-122.174004,http://www.redfin.com/CA/Oakland/2629-75th-Ave-94605/home/1607705,,http://www.zillow.com/homedetails/2629-75th-Ave-Oakland-CA-94605/24792995_zpid/,http://www.zillow.com/homedetails/2629-75th-Ave-Oakland-CA-94605/24792995_zpid/#charts-and-data,http://www.zillow.com/homes/24792995_zpid/,http://www.zillow.com/homes/comps/24792995_zpid/,24792995,257857,04/01/2016,2000,04/05/2016,0,3
redfin,6328,Macarthur Blvd,Oakland,CA,94605,0,,3,1.5,1066,2720,1940,37.77436,-122.179916,,,http://www.zillow.com/homedetails/6328-Macarthur-Blvd-Oakland-CA-94605/24785475_zpid/,http://www.zillow.com/homedetails/6328-Macarthur-Blvd-Oakland-CA-94605/24785475_zpid/#charts-and-data,http://www.zillow.com/homes/24785475_zpid/,http://www.zillow.com/homes/comps/24785475_zpid/,24785475,356754,04/01/2016,,,0.644505815887,0,151500,12/01/2015,11.0,142
redfin,3362,64th Ave,Oakland,CA,94605,0,,2,1.0,804,4356,1915,37.774658,-122.178751,,,http://www.zillow.com/homedetails/3362-64th-Ave-Oakland-CA-94605/24785694_zpid/,http://www.zillow.com/homedetails/3362-64th-Ave-Oakland-CA-94605/24785694_zpid/#charts-and-data,http://www.zillow.com/homes/24785694_zpid/,http://www.zillow.com/homes/comps/24785694_zpid/,24785694,379991,04/01/2016,,,0.633829329778,0,333000,03/03/2016,7.0,414
redfin,3392,64th Ave,Oakland,CA,94605,0,,3,1.0,1046,3300,1947,37.774996,-122.178226,,,http://www.zillow.com/homedetails/3392-64th-Ave-Oakland-CA-94605/24785700_zpid/,http://www.zillow.com/homedetails/3392-64th-Ave-Oakland-CA-94605/24785700_zpid/#charts-and-data,http://www.zillow.com/homes/24785700_zpid/,http://www.zillow.com/homes/comps/24785700_zpid/,24785700,419825,04/01/2016,,,0.644401541324,0,410000,07/08/2015,10.0,391
redfin,3576,64th Ave,Oakland,CA,94605,0,,3,1.0,1108,3800,1924,37.775843,-122.17691,,,http://www.zillow.com/homedetails/3576-64th-Ave-Oakland-CA-94605/24785711_zpid/,http://www.zillow.com/homedetails/3576-64th-Ave-Oakland-CA-94605/24785711_zpid/#charts-and-data,http://www.zillow.com/homes/24785711_zpid/,http://www.zillow.com/homes/comps/24785711_zpid/,24785711,534698,04/01/2016,,,0.6790625546,0,515000,07/15/2015,13.0,464
redfin,6304,Outlook Ave,Oakland,CA,94605,0,,4,2.0,1064,3500,1927,37.776709,-122.177061,,,http://www.zillow.com/homedetails/6304-Outlook-Ave-Oakland-CA-94605/24785795_zpid/,http://www.zillow.com/homedetails/6304-Outlook-Ave-Oakland-CA-94605/24785795_zpid/#charts-and-data,http://www.zillow.com/homes/24785795_zpid/,http://www.zillow.com/homes/comps/24785795_zpid/,24785795,435707,04/01/2016,,,0.739191388043,0,425000,08/03/2015,12.0,399
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
329420,362,31850,40950,54600,205215.0,201115.0,187465.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2636,38TH Ave,Oakland,CA,94619,291,40703021,5,2.0,1473,3484,1904,37.785625,-122.206394,http://www.redfin.com/CA/Oakland/2636-38th-Ave-94619/home/1362820,,http://www.zillow.com/homedetails/2636-38th-Ave-Oakland-CA-94619/24777918_zpid/,http://www.zillow.com/homedetails/2636-38th-Ave-Oakland-CA-94619/24777918_zpid/#charts-and-data,http://www.zillow.com/homes/24777918_zpid/,http://www.zillow.com/homes/comps/24777918_zpid/,24777918,418176,04/01/2016,3000,04/05/2016,0,3
redfin,3248,Bona St,Oakland,CA,94601,0,,3,1.0,1139,3049,1928,37.790683,-122.214115,,,http://www.zillow.com/homedetails/3248-Bona-St-Oakland-CA-94601/24768603_zpid/,http://www.zillow.com/homedetails/3248-Bona-St-Oakland-CA-94601/24768603_zpid/#charts-and-data,http://www.zillow.com/homes/24768603_zpid/,http://www.zillow.com/homes/comps/24768603_zpid/,24768603,418263,04/01/2016,,,0.547603979802,0,363000,07/24/2015,7.0,318
redfin,3335,Deering St,Oakland,CA,94601,0,,3,2.0,1446,3442,1955,37.789563,-122.213817,,,http://www.zillow.com/homedetails/3335-Deering-St-Oakland-CA-94601/24768623_zpid/,http://www.zillow.com/homedetails/3335-Deering-St-Oakland-CA-94601/24768623_zpid/#charts-and-data,http://www.zillow.com/homes/24768623_zpid/,http://www.zillow.com/homes/comps/24768623_zpid/,24768623,560156,04/01/2016,,,0.488178411444,0,545000,06/26/2015,6.0,376
redfin,3486,Paxton Ave,Oakland,CA,94601,0,,2,1.0,1200,2825,1967,37.785904,-122.214995,,,http://www.zillow.com/homedetails/3486-Paxton-Ave-Oakland-CA-94601/24768721_zpid/,http://www.zillow.com/homedetails/3486-Paxton-Ave-Oakland-CA-94601/24768721_zpid/#charts-and-data,http://www.zillow.com/homes/24768721_zpid/,http://www.zillow.com/homes/comps/24768721_zpid/,24768721,435336,04/01/2016,,,0.47005177254,0,285000,07/24/2015,11.0,237
redfin,3448,Paxton Ave,Oakland,CA,94601,0,,3,2.0,1134,4294,1910,37.786513,-122.215725,,,http://www.zillow.com/homedetails/3448-Paxton-Ave-Oakland-CA-94601/24768729_zpid/,http://www.zillow.com/homedetails/3448-Paxton-Ave-Oakland-CA-94601/24768729_zpid/#charts-and-data,http://www.zillow.com/homes/24768729_zpid/,http://www.zillow.com/homes/comps/24768729_zpid/,24768729,561054,04/01/2016,,,0.513196575975,0,528000,05/22/2015,7.0,465
redfin,2367,Bartlett St,Oakland,CA,94601,0,,2,1.0,1206,3330,1947,37.787381,-122.213647,,,http://www.zillow.com/homedetails/2367-Bartlett-St-Oakland-CA-94601/24769145_zpid/,http://www.zillow.com/homedetails/2367-Bartlett-St-Oakland-CA-94601/24769145_zpid/#charts-and-data,http://www.zillow.com/homes/24769145_zpid/,http://www.zillow.com/homes/comps/24769145_zpid/,24769145,440988,04/01/2016,,,0.414212582173,0,420000,08/05/2015,5.0,348
redfin,3121,Suter St,Oakland,CA,94602,0,,2,1.0,1275,4000,1922,37.794529,-122.208843,,,http://www.zillow.com/homedetails/3121-Suter-St-Oakland-CA-94602/24769749_zpid/,http://www.zillow.com/homedetails/3121-Suter-St-Oakland-CA-94602/24769749_zpid/#charts-and-data,http://www.zillow.com/homes/24769749_zpid/,http://www.zillow.com/homes/comps/24769749_zpid/,24769749,564833,04/01/2016,,,0.62957052625,0,550000,09/10/2015,9.0,431
redfin,3145,Texas St,Oakland,CA,94602,0,,3,1.0,1329,4400,1924,37.794208,-122.209925,,,http://www.zillow.com/homedetails/3145-Texas-St-Oakland-CA-94602/24769786_zpid/,http://www.zillow.com/homedetails/3145-Texas-St-Oakland-CA-94602/24769786_zpid/#charts-and-data,http://www.zillow.com/homes/24769786_zpid/,http://www.zillow.com/homes/comps/24769786_zpid/,24769786,543081,04/01/2016,,,0.623580207608,0,510000,06/05/2015,7.0,383
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
537645,365,51555,66285,88380,336678.75,321948.75,304853.75

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2020,41ST Ave,Oakland,CA,94601,258,40707462,3,1.5,1710,4800,1919,37.777767,-122.211611,http://www.redfin.com/CA/Oakland/2020-41st-Ave-94601/home/550882,,http://www.zillow.com/homedetails/2020-41st-Ave-Oakland-CA-94601/24778303_zpid/,http://www.zillow.com/homedetails/2020-41st-Ave-Oakland-CA-94601/24778303_zpid/#charts-and-data,http://www.zillow.com/homes/24778303_zpid/,http://www.zillow.com/homes/comps/24778303_zpid/,24778303,406821,04/01/2016,2850,04/05/2016,0,3
redfin,2536,High St,Oakland,CA,94601,0,,3,2.0,1950,10890,1982,37.781499,-122.20452,,,http://www.zillow.com/homedetails/2536-High-St-Oakland-CA-94601/24777465_zpid/,http://www.zillow.com/homedetails/2536-High-St-Oakland-CA-94601/24777465_zpid/#charts-and-data,http://www.zillow.com/homes/24777465_zpid/,http://www.zillow.com/homes/comps/24777465_zpid/,24777465,682159,04/01/2016,,,0.465231824537,0,547000,05/22/2015,8.0,280
redfin,2636,38th Ave,Oakland,CA,94619,0,,5,2.0,1473,3484,1904,37.785625,-122.206394,,,http://www.zillow.com/homedetails/2636-38th-Ave-Oakland-CA-94619/24777918_zpid/,http://www.zillow.com/homedetails/2636-38th-Ave-Oakland-CA-94619/24777918_zpid/#charts-and-data,http://www.zillow.com/homes/24777918_zpid/,http://www.zillow.com/homes/comps/24777918_zpid/,24777918,418176,04/01/2016,,,0.613139058435,0,374000,05/13/2015,6.0,253
redfin,4101,Aqua Vista St,Oakland,CA,94601,0,,2,1.0,1435,5200,1911,37.781108,-122.20727,,,http://www.zillow.com/homedetails/4101-Aqua-Vista-St-Oakland-CA-94601/24778132_zpid/,http://www.zillow.com/homedetails/4101-Aqua-Vista-St-Oakland-CA-94601/24778132_zpid/#charts-and-data,http://www.zillow.com/homes/24778132_zpid/,http://www.zillow.com/homes/comps/24778132_zpid/,24778132,487296,04/01/2016,,,0.330884707363,0,450000,10/09/2015,4.0,313
redfin,2201,Rosedale Ave,Oakland,CA,94601,0,,3,1.5,1503,4070,1923,37.78072,-122.210013,,,http://www.zillow.com/homedetails/2201-Rosedale-Ave-Oakland-CA-94601/24778776_zpid/,http://www.zillow.com/homedetails/2201-Rosedale-Ave-Oakland-CA-94601/24778776_zpid/#charts-and-data,http://www.zillow.com/homes/24778776_zpid/,http://www.zillow.com/homes/comps/24778776_zpid/,24778776,550660,04/01/2016,,,0.221911097372,0,510000,04/17/2015,4.0,339
